Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,True Label,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,0,2015-00,206.38,206.88,204.18,205.43,121465900.0,183.53,0.0,+,183.53,183.53
2015-01-05,2015,1,5,Monday,1,2015-01,204.17,204.37,201.35,201.72,169632600.0,180.21,-0.01805964847983776,-,181.87,181.87
2015-01-06,2015,1,6,Tuesday,1,2015-01,202.09,202.72,198.86,199.82,209151400.0,178.51,-0.009419051255093123,-,180.75,180.75
2015-01-07,2015,1,7,Wednesday,1,2015-01,201.42,202.72,200.88,202.31,125346700.0,180.74,0.012461324940420404,+,180.7475,180.7475
2015-01-08,2015,1,8,Thursday,1,2015-01,204.01,206.16,203.99,205.9,147217800.0,183.95,0.01774499206955782,+,181.388,181.388
2015-01-09,2015,1,9,Friday,1,2015-01,206.4,206.42,203.51,204.25,158567300.0,182.47,-0.008013488123234658,-,181.56833333333336,181.56833333333336
2015-01-12,2015,1,12,Monday,2,2015-02,204.41,204.6,201.92,202.65,144396100.0,181.04,-0.007833709510942309,-,181.49285714285716,181.49285714285716
2015-01-13,2015,1,13,Tuesday,2,2015-02,204.12,205.48,200.51,202.08,214553300.0,180.53,-0.002812697222566829,-,181.3725,181.3725
2015-01-14,2015,1,14,Wednesday,2,2015-02,199.65,201.1,198.57,200.86,192991100.0,179.44,-0.006037241928171455,-,181.15777777777782,181.15777777777782
2015-01-15,2015,1,15,Thursday,2,2015-02,201.63,202.01,198.88,199.02,176613900.0,177.8,-0.0091603998548635,-,180.822,180.822
2015-01-16,2015,1,16,Friday,2,2015-02,198.77,201.82,198.55,201.63,211879600.0,180.13,0.013114215540169559,+,180.75909090909093,180.75909090909093
2015-01-20,2015,1,20,Tuesday,3,2015-03,202.4,202.72,200.17,202.06,130991100.0,180.51,0.0021325617314147394,+,180.7383333333333,180.7383333333333
2015-01-21,2015,1,21,Wednesday,3,2015-03,201.5,203.66,200.94,203.08,122942700.0,181.43,0.005048001618904063,+,180.79153846153844,180.79153846153844
2015-01-22,2015,1,22,Thursday,3,2015-03,203.99,206.26,202.33,206.1,174356000.0,184.12,0.014870968705069654,+,181.0292857142857,181.0292857142857
2015-01-23,2015,1,23,Friday,3,2015-03,205.79,206.1,204.81,204.97,117516800.0,183.11,-0.005482913391830158,-,180.9992857142857,181.168
2015-01-26,2015,1,26,Monday,4,2015-04,204.71,205.56,203.85,205.45,92009700.0,183.54,0.002341883101001807,+,181.23714285714283,181.31625
2015-01-27,2015,1,27,Tuesday,4,2015-04,202.97,204.12,201.74,202.74,134044600.0,181.12,-0.013190532678377664,-,181.4235714285714,181.3047058823529
2015-01-28,2015,1,28,Wednesday,4,2015-04,204.17,204.29,199.91,200.14,168514300.0,178.8,-0.01282447452990465,-,181.285,181.16555555555558
2015-01-29,2015,1,29,Thursday,4,2015-04,200.38,202.3,198.68,201.99,173585400.0,180.45,0.009243706013008834,+,181.035,181.12789473684208
2015-01-30,2015,1,30,Friday,4,2015-04,200.57,202.17,199.13,199.45,197729700.0,178.18,-0.012574953744366235,-,180.72857142857143,180.98049999999995
2015-02-02,2015,2,2,Monday,5,2015-05,200.05,202.03,197.86,201.92,163107000.0,180.39,0.012384077502090696,+,180.68214285714282,180.9523809523809
2015-02-03,2015,2,3,Tuesday,5,2015-05,203.0,204.85,202.55,204.84,124212900.0,183.0,0.014461139831507763,+,180.8585714285714,181.04545454545448
2015-02-04,2015,2,4,Wednesday,5,2015-05,203.92,205.38,203.51,204.06,134306700.0,182.3,-0.003807808362686571,-,181.06285714285718,181.1
2015-02-05,2015,2,5,Thursday,5,2015-05,204.86,206.3,204.77,206.12,97953200.0,184.14,0.01009515020145524,+,181.51571428571427,181.22666666666663
2015-02-06,2015,2,6,Friday,5,2015-05,206.56,207.24,204.92,205.55,125672000.0,183.63,-0.0027653456089531407,-,181.76571428571427,181.3228
2015-02-09,2015,2,9,Monday,6,2015-06,204.77,205.64,204.14,204.63,87219000.0,182.81,-0.004475942990515902,-,181.93,181.38
2015-02-10,2015,2,10,Tuesday,6,2015-06,205.88,207.12,204.68,206.81,96164200.0,184.76,0.010653140014521778,+,182.16785714285717,181.5051851851852
2015-02-11,2015,2,11,Wednesday,6,2015-06,206.61,207.45,205.83,206.93,91087800.0,184.87,0.0005805096906468242,+,182.22142857142856,181.62535714285718
2015-02-12,2015,2,12,Thursday,6,2015-06,207.89,208.99,206.97,208.92,97545900.0,186.64,0.009616722714004045,+,182.4735714285714,181.79827586206898
2015-02-13,2015,2,13,Friday,6,2015-06,209.07,209.84,208.76,209.78,93670400.0,187.41,0.0041164617265201375,+,182.75,181.98533333333336
2015-02-17,2015,2,17,Tuesday,7,2015-07,209.4,210.32,209.1,210.11,76968200.0,187.71,0.0015732502994574293,+,183.22071428571425,182.17
2015-02-18,2015,2,18,Wednesday,7,2015-07,209.66,210.22,209.34,210.13,80652900.0,187.72,9.494746958083056e-05,+,183.85785714285709,182.3434375
2015-02-19,2015,2,19,Thursday,7,2015-07,209.41,210.42,209.24,209.98,91462500.0,187.59,-0.0007135015082453401,-,184.3678571428571,182.50242424242427
2015-02-20,2015,2,20,Friday,7,2015-07,209.48,211.33,208.73,211.24,140896400.0,188.72,0.006000278674132664,+,185.12071428571426,182.6852941176471
2015-02-23,2015,2,23,Monday,8,2015-08,210.94,211.21,210.48,211.21,74411100.0,188.69,-0.00014198279129762348,-,185.71357142857138,182.85685714285717
2015-02-24,2015,2,24,Tuesday,8,2015-08,211.12,212.05,210.76,211.81,72472300.0,189.23,0.002840867738320041,+,186.1585714285714,183.0338888888889
2015-02-25,2015,2,25,Wednesday,8,2015-08,211.66,212.24,211.22,211.63,73061700.0,189.06,-0.0008497653831484043,-,186.64142857142852,183.19675675675683
2015-02-26,2015,2,26,Thursday,8,2015-08,211.52,211.71,210.65,211.38,72697900.0,188.84,-0.001181305209493777,-,186.97714285714284,183.34526315789475
2015-02-27,2015,2,27,Friday,8,2015-08,211.26,211.58,210.6,210.66,108076000.0,188.2,-0.003406299099984245,-,187.3035714285714,183.4697435897436
2015-03-02,2015,3,2,Monday,9,2015-09,210.78,212.06,210.72,211.99,87491400.0,189.39,0.006313576118320618,+,187.7735714285714,183.61775000000003
2015-03-03,2015,3,3,Tuesday,9,2015-09,211.47,212.05,210.08,211.12,110325800.0,188.61,-0.004104060964215006,-,188.0485714285714,183.739512195122
2015-03-04,2015,3,4,Wednesday,9,2015-09,210.4,210.49,209.06,210.23,114497200.0,187.81,-0.0042157905505291185,-,188.2585714285714,183.8364285714286
2015-03-05,2015,3,5,Thursday,9,2015-09,210.62,210.8,209.85,210.46,76873000.0,188.02,0.0010941977701537378,+,188.35714285714283,183.9337209302326
2015-03-06,2015,3,6,Friday,9,2015-09,209.42,209.94,207.1,207.5,188128000.0,185.37,-0.014064485645992277,-,188.21142857142854,183.96636363636367
2015-03-09,2015,3,9,Monday,10,2015-10,207.74,208.79,207.55,208.36,89818900.0,186.14,0.004144632120273385,+,188.09928571428568,184.01466666666667
2015-03-10,2015,3,10,Tuesday,10,2015-10,206.71,206.81,204.93,204.98,157121300.0,183.12,-0.016222045633284776,-,187.77071428571426,183.9952173913044
