Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label_x,Label_y,mean_return,volatility
2018/1/2,2018,1,2,Tuesday,0,2018-00,52.0,52.44,51.89,52.41,2119600,45.22,0.014910851000000001,44.19142857,42.7338,green,green,0.26,0.87
2018/1/3,2018,1,3,Wednesday,0,2018-00,51.67,52.17,51.67,52.15,2283600,44.99,-0.004960787,44.29,42.7788,green,green,0.26,0.87
2018/1/4,2018,1,4,Thursday,0,2018-00,52.05,52.31,52.03,52.26,2857400,45.09,0.002109193,44.34071429,42.8372,green,green,0.26,0.87
2018/1/5,2018,1,5,Friday,0,2018-00,52.02,52.18,51.89,52.17,1871100,45.01,-0.001722164,44.41857143,42.8912,green,green,0.26,0.87
2018/1/8,2018,1,8,Monday,1,18-Jan,51.63,51.85,51.62,51.75,1255300,44.65,-0.008050628,44.51642857,42.9354,green,green,1.0,1.5
2018/1/9,2018,1,9,Tuesday,1,18-Jan,51.98,52.25,51.98,52.15,1272700,44.99,0.007729606,44.60571429,42.9896,green,green,1.0,1.5
2018/1/10,2018,1,10,Wednesday,1,18-Jan,53.88,54.18,53.7,53.92,2724500,46.52,0.033940483,44.81428571,43.0714,green,green,1.0,1.5
2018/1/11,2018,1,11,Thursday,1,18-Jan,54.17,54.34,54.09,54.3,1322700,46.85,0.007047389,45.01142857,43.1674,green,green,1.0,1.5
2018/1/12,2018,1,12,Friday,1,18-Jan,54.38,54.88,54.35,54.83,2119700,47.3,0.009760836,45.21785714,43.2718,green,green,1.0,1.5
2018/1/16,2018,1,16,Tuesday,2,18-Feb,54.64,55.2,54.63,54.9,3301500,47.37,0.001276462,45.41785714,43.3792,green,green,0.24,0.75
2018/1/17,2018,1,17,Wednesday,2,18-Feb,54.96,55.7,54.83,55.62,2682700,47.99,0.013114793000000001,45.67071429,43.5048,green,green,0.24,0.75
2018/1/18,2018,1,18,Thursday,2,18-Feb,54.97,55.54,54.91,55.39,2950600,47.79,-0.004135268,45.91214286,43.6264,green,green,0.24,0.75
2018/1/19,2018,1,19,Friday,2,18-Feb,55.1,55.36,55.1,55.36,3266100,47.76,-0.000541536,46.14857143,43.7488,green,green,0.24,0.75
2018/1/22,2018,1,22,Monday,3,18-Mar,55.35,55.5,55.23,55.47,1814800,47.86,0.001986973,46.385,43.8768,green,green,0.023,0.53
2018/1/23,2018,1,23,Tuesday,3,18-Mar,55.37,55.56,55.26,55.46,2032400,47.85,-0.000180305,46.57285714,43.9996,green,green,0.023,0.53
2018/1/24,2018,1,24,Wednesday,3,18-Mar,55.86,55.89,55.4,55.6,2080200,47.97,0.002524482,46.78571429,44.119,green,green,0.023,0.53
2018/1/25,2018,1,25,Thursday,3,18-Mar,55.6,55.6,55.07,55.12,1517000,47.56,-0.008633198,46.96214286,44.2296,green,green,0.023,0.53
2018/1/26,2018,1,26,Friday,3,18-Mar,55.22,55.45,55.01,55.42,1798200,47.81,0.005442687,47.16214286,44.353,green,green,0.023,0.53
2018/1/29,2018,1,29,Monday,4,18-Apr,54.64,54.95,54.61,54.74,1628200,47.23,-0.012270108,47.34642857,44.4638,red,red,-0.78,0.76
