Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,00,2015-00,47.3,47.33,46.85,47.07,1446500.0,33.63,0.0,33.63,33.63
2015-01-05,2015,1,5,Monday,01,2015-01,46.26,46.34,45.8,45.99,2599600.0,32.86,-0.022944407086664897,33.245000000000005,33.245000000000005
2015-01-06,2015,1,6,Tuesday,01,2015-01,45.44,45.68,45.01,45.32,3408100.0,32.38,-0.014568602869997949,32.95666666666667,32.95666666666667
2015-01-07,2015,1,7,Wednesday,01,2015-01,45.46,45.72,45.23,45.67,2122400.0,32.63,0.007722992999093625,32.875,32.875
2015-01-08,2015,1,8,Thursday,01,2015-01,45.63,46.01,45.63,45.82,1601600.0,32.74,0.0032844045556805757,32.848,32.848
2015-01-09,2015,1,9,Friday,01,2015-01,45.52,45.72,45.34,45.58,1401900.0,32.56,-0.0052378673959214694,32.800000000000004,32.800000000000004
2015-01-12,2015,1,12,Monday,02,2015-02,45.71,45.76,45.37,45.62,1603100.0,32.59,0.0008776330896258511,32.77,32.77
2015-01-13,2015,1,13,Tuesday,02,2015-02,45.97,46.06,45.45,45.71,1884300.0,32.66,0.0019727088516985347,32.75625,32.75625
2015-01-14,2015,1,14,Wednesday,02,2015-02,45.01,45.37,44.85,45.24,2740800.0,32.32,-0.010282160472022683,32.70777777777778,32.70777777777778
2015-01-15,2015,1,15,Thursday,02,2015-02,45.09,45.42,44.96,45.26,2449700.0,32.34,0.00044199643593900717,32.67100000000001,32.67100000000001
2015-01-16,2015,1,16,Friday,02,2015-02,44.9,45.24,44.72,45.24,2908800.0,32.32,-0.00044180116140024595,32.63909090909091,32.63909090909091
2015-01-20,2015,1,20,Tuesday,03,2015-03,45.32,45.5,45.11,45.36,3186200.0,32.41,0.0026522146617948827,32.620000000000005,32.620000000000005
2015-01-21,2015,1,21,Wednesday,03,2015-03,45.4,45.8,45.3,45.76,1860100.0,32.69,0.008818781854772695,32.62538461538462,32.62538461538462
2015-01-22,2015,1,22,Thursday,03,2015-03,46.37,46.92,46.37,46.84,1682600.0,33.46,0.023601013265564408,32.685,32.685
2015-01-23,2015,1,23,Friday,03,2015-03,46.72,47.02,46.69,46.83,1994200.0,33.46,-0.00021316424886730356,32.67285714285715,32.736666666666665
2015-01-26,2015,1,26,Monday,04,2015-04,47.05,47.38,46.88,47.31,1847200.0,33.8,0.010249571642334976,32.74,32.803125
2015-01-27,2015,1,27,Tuesday,04,2015-04,46.92,47.12,46.58,46.97,1935200.0,33.56,-0.0071861918216862275,32.824285714285715,32.84764705882353
2015-01-28,2015,1,28,Wednesday,04,2015-04,46.94,46.94,46.44,46.51,1783400.0,33.23,-0.009793984947021328,32.86714285714286,32.8688888888889
2015-01-29,2015,1,29,Thursday,04,2015-04,46.51,46.71,46.25,46.68,1774800.0,33.35,0.0036554735153815354,32.91071428571429,32.894210526315796
2015-01-30,2015,1,30,Friday,04,2015-04,46.12,46.15,45.72,45.72,2044800.0,32.66,-0.020565585925950036,32.91785714285715,32.88250000000001
2015-02-02,2015,2,2,Monday,05,2015-05,45.72,46.16,45.7,46.09,1701700.0,32.93,0.008092779736764255,32.94214285714286,32.88476190476191
2015-02-03,2015,2,3,Tuesday,05,2015-05,46.28,46.85,46.27,46.85,2197900.0,33.47,0.016489122306642123,33.00000000000001,32.91136363636364
2015-02-04,2015,2,4,Wednesday,05,2015-05,46.61,46.93,46.52,46.7,1502600.0,33.36,-0.0032014538573410523,33.07428571428572,32.93086956521739
2015-02-05,2015,2,5,Thursday,05,2015-05,46.79,47.12,46.72,47.07,1742500.0,33.63,0.00792283875806632,33.16642857142858,32.96
2015-02-06,2015,2,6,Friday,05,2015-05,47.51,47.58,47.0,47.08,1475700.0,33.64,0.00021268978735111688,33.26071428571429,32.9872
2015-02-09,2015,2,9,Monday,06,2015-06,46.2,46.51,46.19,46.37,2097600.0,33.13,-0.015080979017822571,33.31214285714287,32.99269230769231
2015-02-10,2015,2,10,Tuesday,06,2015-06,45.88,45.93,45.43,45.62,3488000.0,32.59,-0.01617411786488976,33.305000000000014,32.97777777777778
2015-02-11,2015,2,11,Wednesday,06,2015-06,45.2,45.42,45.05,45.42,2363000.0,32.45,-0.004384083545946216,33.232857142857156,32.95892857142858
2015-02-12,2015,2,12,Thursday,06,2015-06,45.83,46.14,45.78,46.14,1955100.0,32.96,0.015851868971394234,33.19714285714287,32.95896551724139
2015-02-13,2015,2,13,Friday,06,2015-06,46.01,46.2,45.91,46.13,1847300.0,32.96,-0.00021662963403135116,33.13714285714287,32.95900000000001
2015-02-17,2015,2,17,Tuesday,07,2015-07,46.18,46.38,45.97,46.26,1813100.0,33.05,0.0028181843961616604,33.1007142857143,32.961935483870974
2015-02-18,2015,2,18,Wednesday,07,2015-07,46.69,46.8,46.57,46.67,1820300.0,33.34,0.008862582703299537,33.10857142857144,32.97375
2015-02-19,2015,2,19,Thursday,07,2015-07,46.44,46.57,46.21,46.25,1288500.0,33.04,-0.008999125703115674,33.08642857142858,32.97575757575758
2015-02-20,2015,2,20,Friday,07,2015-07,46.4,46.81,46.25,46.68,1339300.0,33.35,0.009297537000066525,33.13571428571429,32.98676470588235
2015-02-23,2015,2,23,Monday,08,2015-08,44.36,44.71,44.17,44.68,3921100.0,31.92,-0.04284501833833465,33.063571428571436,32.95628571428571
2015-02-24,2015,2,24,Tuesday,08,2015-08,44.58,45.09,44.58,45.04,3624100.0,32.18,0.008057146015418848,32.97142857142858,32.93472222222223
2015-02-25,2015,2,25,Wednesday,08,2015-08,44.77,44.8,44.51,44.77,2392300.0,31.99,-0.0059946345546063595,32.87357142857144,32.90918918918919
2015-02-26,2015,2,26,Thursday,08,2015-08,44.59,44.87,44.57,44.85,1497400.0,32.04,0.0017869638758039041,32.76000000000001,32.886315789473684
2015-02-27,2015,2,27,Friday,08,2015-08,44.7,44.78,44.59,44.62,1527100.0,31.88,-0.005128230464354511,32.634285714285724,32.860512820512824
2015-03-02,2015,3,2,Monday,09,2015-09,44.6,44.87,44.55,44.87,1229500.0,32.06,0.005602922506397379,32.55785714285715,32.840500000000006
2015-03-03,2015,3,3,Tuesday,09,2015-09,44.87,44.96,44.65,44.81,1554700.0,32.01,-0.0013373995165417707,32.516428571428584,32.820243902439024
2015-03-04,2015,3,4,Wednesday,09,2015-09,43.79,43.81,43.52,43.76,1490600.0,31.98,-0.0011410346739418875,32.482857142857156,32.8002380952381
2015-03-05,2015,3,5,Thursday,09,2015-09,43.52,43.68,43.46,43.59,2063100.0,31.85,-0.00388491587603057,32.403571428571446,32.77813953488372
2015-03-06,2015,3,6,Friday,09,2015-09,43.19,43.25,42.75,42.81,2860700.0,31.28,-0.017893975628606174,32.28357142857144,32.74409090909091
2015-03-09,2015,3,9,Monday,10,2015-10,43.1,43.14,42.85,42.95,1882700.0,31.39,0.003270465038167192,32.16500000000001,32.714000000000006
2015-03-10,2015,3,10,Tuesday,10,2015-10,42.85,42.86,42.27,42.35,2652000.0,30.95,-0.013970163018760418,31.994285714285727,32.67565217391304
2015-03-11,2015,3,11,Wednesday,10,2015-10,42.07,42.19,41.91,42.05,1868800.0,30.73,-0.007083769455066169,31.829285714285728,32.63425531914894
2015-03-12,2015,3,12,Thursday,10,2015-10,42.05,42.08,41.69,41.97,3466300.0,30.67,-0.0019024902076066885,31.637857142857154,32.59333333333334
2015-03-13,2015,3,13,Friday,10,2015-10,41.46,41.61,41.2,41.55,2318900.0,30.36,-0.010007143117451434,31.526428571428585,32.54775510204082
2015-03-16,2015,3,16,Monday,11,2015-11,41.59,41.85,41.52,41.75,1503400.0,30.51,0.004813711700323964,31.40714285714287,32.507000000000005
2015-03-17,2015,3,17,Tuesday,11,2015-11,42.02,42.34,41.98,42.25,2411500.0,30.87,0.011975970786838541,31.327142857142867,32.4518
2015-03-18,2015,3,18,Wednesday,11,2015-11,42.29,43.23,42.22,43.09,3266700.0,31.49,0.019881335078592244,31.287857142857153,32.4244
2015-03-19,2015,3,19,Thursday,11,2015-11,42.76,42.78,42.43,42.57,2259100.0,31.11,-0.012067360219294887,31.232857142857153,32.398999999999994
2015-03-20,2015,3,20,Friday,11,2015-11,43.26,43.72,43.12,43.56,3535800.0,31.83,0.02325567849402943,31.216428571428583,32.382999999999996
2015-03-23,2015,3,23,Monday,12,2015-12,43.22,43.27,42.98,43.21,1855900.0,31.58,-0.008034639849620606,31.185714285714294,32.35979999999999
2015-03-24,2015,3,24,Tuesday,12,2015-12,43.13,43.2,42.98,43.02,1780600.0,31.44,-0.004397429956827903,31.147142857142864,32.337399999999995
2015-03-25,2015,3,25,Wednesday,12,2015-12,43.54,43.6,43.2,43.24,2176700.0,31.6,0.005114154763550038,31.12928571428572,32.31759999999999
2015-03-26,2015,3,26,Thursday,12,2015-12,43.18,43.22,42.81,43.13,1982800.0,31.52,-0.0025443684471994077,31.146428571428576,32.29479999999999
2015-03-27,2015,3,27,Friday,12,2015-12,43.1,43.21,42.88,43.12,1982900.0,31.51,-0.0002315991677438456,31.155000000000005,32.27859999999999
2015-03-30,2015,3,30,Monday,13,2015-13,43.14,43.35,43.09,43.19,1937600.0,31.56,0.001623385663747312,31.198571428571434,32.26299999999999
2015-03-31,2015,3,31,Tuesday,13,2015-13,42.51,42.81,42.5,42.59,2073300.0,31.12,-0.013892112825402592,31.226428571428578,32.23899999999999
2015-04-01,2015,4,1,Wednesday,13,2015-13,42.89,43.0,42.7,42.92,2098600.0,31.36,0.007748498454559494,31.27571428571429,32.21799999999999
2015-04-02,2015,4,2,Thursday,13,2015-13,43.08,43.23,43.04,43.15,1316900.0,31.53,0.005358375411021354,31.359285714285722,32.19479999999999
2015-04-06,2015,4,6,Monday,14,2015-14,43.22,43.79,43.17,43.52,1205100.0,31.8,0.008575056880932408,31.45142857142858,32.161599999999986
2015-04-07,2015,4,7,Tuesday,14,2015-14,43.56,43.73,43.46,43.49,3491300.0,31.78,-0.0006894705326915274,31.51642857142858,32.127999999999986
2015-04-08,2015,4,8,Wednesday,14,2015-14,44.08,44.14,43.51,43.77,2843100.0,31.99,0.006438657922546387,31.552142857142865,32.091799999999985
2015-04-09,2015,4,9,Thursday,14,2015-14,44.41,44.63,44.35,44.54,2915200.0,32.55,0.01759163240297079,31.65500000000001,32.07159999999998
2015-04-10,2015,4,10,Friday,14,2015-14,44.69,44.8,44.55,44.69,2179900.0,32.66,0.003367702637037562,31.714285714285726,32.06019999999999
2015-04-13,2015,4,13,Monday,15,2015-15,45.31,45.41,45.07,45.27,3990200.0,33.08,0.012978567824169174,31.821428571428584,32.054799999999986
2015-04-14,2015,4,14,Tuesday,15,2015-15,45.5,45.69,45.4,45.64,2965300.0,33.35,0.008172674825350112,31.957857142857158,32.06859999999998
2015-04-15,2015,4,15,Wednesday,15,2015-15,45.53,45.92,45.48,45.89,1623300.0,33.53,0.005477789343931505,32.095714285714294,32.08059999999998
2015-04-16,2015,4,16,Thursday,15,2015-15,45.44,45.52,45.21,45.43,2202300.0,33.2,-0.010023848701516958,32.2157142857143,32.07519999999998
2015-04-17,2015,4,17,Friday,15,2015-15,44.86,44.99,44.75,44.86,1772400.0,32.78,-0.012546656406269396,32.30642857142858,32.06359999999998
2015-04-20,2015,4,20,Monday,16,2015-16,45.55,45.77,45.46,45.51,2092800.0,33.26,0.014489394168424763,32.42785714285716,32.05619999999998
2015-04-21,2015,4,21,Tuesday,16,2015-16,45.69,45.93,45.57,45.6,2424900.0,33.32,0.001977622957081371,32.585000000000015,32.049799999999976
2015-04-22,2015,4,22,Wednesday,16,2015-16,45.62,45.65,45.26,45.61,1820800.0,33.33,0.00021945482476071199,32.7257142857143,32.053799999999974
2015-04-23,2015,4,23,Thursday,16,2015-16,45.8,46.18,45.75,46.11,2009600.0,33.7,0.010962550931648662,32.8807142857143,32.07599999999998
2015-04-24,2015,4,24,Friday,16,2015-16,47.74,47.84,47.46,47.71,3276600.0,34.86,0.03469938011874141,33.09928571428573,32.12419999999997
2015-04-27,2015,4,27,Monday,17,2015-17,49.29,49.52,49.15,49.48,4058700.0,36.16,0.03709915256675944,33.412142857142875,32.18819999999997
2015-04-28,2015,4,28,Tuesday,17,2015-17,49.2,49.59,49.04,49.57,2511900.0,36.22,0.0018188439832766967,33.71428571428573,32.25339999999997
2015-04-29,2015,4,29,Wednesday,17,2015-17,50.14,50.26,49.79,50.17,4139500.0,36.66,0.012104314039024455,34.007857142857155,32.32559999999998
2015-04-30,2015,4,30,Thursday,17,2015-17,49.66,49.95,49.49,49.63,3540900.0,36.27,-0.010763596680709253,34.2657142857143,32.38419999999998
2015-05-01,2015,5,1,Friday,17,2015-17,49.13,49.25,48.85,49.23,2339300.0,35.98,-0.008059716751854018,34.472857142857166,32.44299999999998
2015-05-04,2015,5,4,Monday,18,2015-18,49.07,49.2,48.95,49.1,2028400.0,35.88,-0.002640537413304056,34.65357142857145,32.49359999999999
2015-05-05,2015,5,5,Tuesday,18,2015-18,48.17,48.22,47.52,47.57,3675800.0,34.76,-0.031161031853480292,34.74142857142859,32.55039999999998
2015-05-06,2015,5,6,Wednesday,18,2015-18,48.17,48.36,48.02,48.25,2533800.0,35.26,0.014295165813805744,34.88857142857145,32.61199999999998
2015-05-07,2015,5,7,Thursday,18,2015-18,48.09,48.24,47.64,48.18,1678800.0,35.21,-0.001451163527401711,35.06214285714288,32.67639999999998
2015-05-08,2015,5,8,Friday,18,2015-18,49.32,49.58,49.09,49.48,2105900.0,36.16,0.026982241212024638,35.269285714285736,32.75879999999998
2015-05-11,2015,5,11,Monday,19,2015-19,49.15,49.38,49.03,49.09,1823900.0,35.87,-0.007882008932169726,35.45142857142859,32.83859999999998
2015-05-12,2015,5,12,Tuesday,19,2015-19,48.45,48.68,48.33,48.49,1872300.0,35.43,-0.012222243726444426,35.6014285714286,32.90599999999998
2015-05-13,2015,5,13,Wednesday,19,2015-19,48.22,48.4,48.0,48.32,1752900.0,35.31,-0.003506119453084988,35.7164285714286,32.97199999999998
2015-05-14,2015,5,14,Thursday,19,2015-19,48.65,48.73,48.36,48.67,1807100.0,35.57,0.007243256347491345,35.76714285714288,33.043799999999976
2015-05-15,2015,5,15,Friday,19,2015-19,48.6,48.81,48.48,48.81,1465300.0,35.67,0.0028767464159993317,35.73214285714288,33.12019999999998
2015-05-18,2015,5,18,Monday,20,2015-20,48.49,48.69,48.4,48.45,1436200.0,35.41,-0.007375456420669502,35.67428571428574,33.20279999999998
2015-05-19,2015,5,19,Tuesday,20,2015-20,47.7,47.93,47.64,47.85,3006900.0,34.97,-0.012384337910056997,35.55357142857145,33.274399999999986
2015-05-20,2015,5,20,Wednesday,20,2015-20,47.84,48.07,47.76,47.81,2084900.0,35.31,0.009715373612703138,35.48500000000003,33.36159999999998
2015-05-21,2015,5,21,Thursday,20,2015-20,48.11,48.18,47.94,47.96,3228800.0,35.42,0.0031373202377737996,35.44500000000003,33.45539999999998
2015-05-22,2015,5,22,Friday,20,2015-20,48.19,48.3,48.07,48.11,1570000.0,35.53,0.0031276159505613244,35.42000000000002,33.55259999999998
2015-05-26,2015,5,26,Tuesday,21,2015-21,47.79,47.82,47.29,47.4,2555000.0,35.0,-0.014757834549820825,35.43714285714288,33.64539999999998
2015-05-27,2015,5,27,Wednesday,21,2015-21,47.58,48.19,47.5,47.81,2437400.0,35.31,0.008649866281312812,35.44071428571431,33.74139999999998
2015-05-28,2015,5,28,Thursday,21,2015-21,47.71,47.77,47.46,47.69,1506300.0,35.22,-0.0025102235452766353,35.441428571428595,33.82839999999998
2015-05-29,2015,5,29,Friday,21,2015-21,48.09,48.13,47.32,47.5,1765200.0,35.08,-0.003983917883198629,35.36428571428574,33.900199999999984
2015-06-01,2015,6,1,Monday,22,2015-22,47.53,47.58,47.22,47.47,1868500.0,35.06,-0.0006314069151128754,35.30642857142859,33.979199999999985
2015-06-02,2015,6,2,Tuesday,22,2015-22,47.73,47.97,47.65,47.78,1930800.0,35.28,0.006530256383023625,35.295714285714304,34.04819999999998
2015-06-03,2015,6,3,Wednesday,22,2015-22,47.76,48.24,47.75,47.9,1219200.0,35.37,0.0025116919302599072,35.30000000000002,34.12399999999998
2015-06-04,2015,6,4,Thursday,22,2015-22,47.68,47.94,47.36,47.46,1358100.0,35.05,-0.009185924298381498,35.26285714285716,34.19619999999998
2015-06-05,2015,6,5,Friday,22,2015-22,46.81,47.34,46.73,47.18,1312000.0,34.84,-0.005899694098401187,35.20357142857144,34.26099999999998
2015-06-08,2015,6,8,Monday,23,2015-23,47.5,47.58,47.29,47.37,1239400.0,34.98,0.004026872385075819,35.172857142857154,34.330199999999984
2015-06-09,2015,6,9,Tuesday,23,2015-23,47.02,47.15,46.81,47.0,1817700.0,34.71,-0.007810869373195972,35.15428571428573,34.394199999999984
2015-06-10,2015,6,10,Wednesday,23,2015-23,47.39,47.69,47.36,47.57,2004700.0,35.13,0.012127985766512195,35.141428571428584,34.46559999999999
2015-06-11,2015,6,11,Thursday,23,2015-23,47.36,47.55,47.11,47.47,1549600.0,35.06,-0.002102099167217819,35.1157142857143,34.54439999999999
2015-06-12,2015,6,12,Friday,23,2015-23,47.23,47.55,47.06,47.45,1640300.0,35.04,-0.0004214578065564467,35.0807142857143,34.61799999999999
2015-06-15,2015,6,15,Monday,24,2015-24,46.68,46.83,46.52,46.74,1908500.0,34.52,-0.014962998299849817,35.046428571428585,34.67779999999999
