Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
2015/1/2,2015,1,2,Friday,0,2015-00,47.3,47.33,46.85,47.07,1446500,33.63,0,33.63,33.63,undefined
2015/1/5,2015,1,5,Monday,1,15-Jan,46.26,46.34,45.8,45.99,2599600,32.86,-0.022944407,33.245,33.245,undefined
2015/1/6,2015,1,6,Tuesday,1,15-Jan,45.44,45.68,45.01,45.32,3408100,32.38,-0.014568603,32.95666667,32.95666667,undefined
2015/1/7,2015,1,7,Wednesday,1,15-Jan,45.46,45.72,45.23,45.67,2122400,32.63,0.007722993,32.875,32.875,undefined
2015/1/8,2015,1,8,Thursday,1,15-Jan,45.63,46.01,45.63,45.82,1601600,32.74,0.003284405,32.848,32.848,undefined
2015/1/9,2015,1,9,Friday,1,15-Jan,45.52,45.72,45.34,45.58,1401900,32.56,-0.005237867,32.8,32.8,undefined
2015/1/12,2015,1,12,Monday,2,15-Feb,45.71,45.76,45.37,45.62,1603100,32.59,0.000877633,32.77,32.77,undefined
2015/1/13,2015,1,13,Tuesday,2,15-Feb,45.97,46.06,45.45,45.71,1884300,32.66,0.001972709,32.75625,32.75625,undefined
2015/1/14,2015,1,14,Wednesday,2,15-Feb,45.01,45.37,44.85,45.24,2740800,32.32,-0.01028216,32.70777778,32.70777778,undefined
2015/1/15,2015,1,15,Thursday,2,15-Feb,45.09,45.42,44.96,45.26,2449700,32.34,0.000441996,32.671,32.671,undefined
2015/1/16,2015,1,16,Friday,2,15-Feb,44.9,45.24,44.72,45.24,2908800,32.32,-0.000441801,32.63909091,32.63909091,undefined
2015/1/20,2015,1,20,Tuesday,3,15-Mar,45.32,45.5,45.11,45.36,3186200,32.41,0.002652215,32.62,32.62,undefined
2015/1/21,2015,1,21,Wednesday,3,15-Mar,45.4,45.8,45.3,45.76,1860100,32.69,0.008818782,32.62538462,32.62538462,undefined
2015/1/22,2015,1,22,Thursday,3,15-Mar,46.37,46.92,46.37,46.84,1682600,33.46,0.023601013,32.685,32.685,undefined
2015/1/23,2015,1,23,Friday,3,15-Mar,46.72,47.02,46.69,46.83,1994200,33.46,-0.000213164,32.67285714,32.73666667,undefined
2015/1/26,2015,1,26,Monday,4,15-Apr,47.05,47.38,46.88,47.31,1847200,33.8,0.010249572,32.74,32.803125,undefined
2015/1/27,2015,1,27,Tuesday,4,15-Apr,46.92,47.12,46.58,46.97,1935200,33.56,-0.007186192,32.82428571,32.84764706,undefined
2015/1/28,2015,1,28,Wednesday,4,15-Apr,46.94,46.94,46.44,46.51,1783400,33.23,-0.009793985,32.86714286,32.86888889,undefined
2015/1/29,2015,1,29,Thursday,4,15-Apr,46.51,46.71,46.25,46.68,1774800,33.35,0.003655474,32.91071429,32.89421053,undefined
2015/1/30,2015,1,30,Friday,4,15-Apr,46.12,46.15,45.72,45.72,2044800,32.66,-0.020565586,32.91785714,32.8825,undefined
2015/2/2,2015,2,2,Monday,5,15-May,45.72,46.16,45.7,46.09,1701700,32.93,0.00809278,32.94214286,32.8847619,undefined
2015/2/3,2015,2,3,Tuesday,5,15-May,46.28,46.85,46.27,46.85,2197900,33.47,0.016489122,33,32.91136364,undefined
2015/2/4,2015,2,4,Wednesday,5,15-May,46.61,46.93,46.52,46.7,1502600,33.36,-0.003201454,33.07428571,32.93086957,undefined
2015/2/5,2015,2,5,Thursday,5,15-May,46.79,47.12,46.72,47.07,1742500,33.63,0.007922839,33.16642857,32.96,undefined
2015/2/6,2015,2,6,Friday,5,15-May,47.51,47.58,47,47.08,1475700,33.64,0.00021269,33.26071429,32.9872,undefined
2015/2/9,2015,2,9,Monday,6,15-Jun,46.2,46.51,46.19,46.37,2097600,33.13,-0.015080979,33.31214286,32.99269231,undefined
2015/2/10,2015,2,10,Tuesday,6,15-Jun,45.88,45.93,45.43,45.62,3488000,32.59,-0.016174118,33.305,32.97777778,undefined
2015/2/11,2015,2,11,Wednesday,6,15-Jun,45.2,45.42,45.05,45.42,2363000,32.45,-0.004384084,33.23285714,32.95892857,undefined
2015/2/12,2015,2,12,Thursday,6,15-Jun,45.83,46.14,45.78,46.14,1955100,32.96,0.015851869,33.19714286,32.95896552,undefined
2015/2/13,2015,2,13,Friday,6,15-Jun,46.01,46.2,45.91,46.13,1847300,32.96,-0.00021663,33.13714286,32.959,undefined
2015/2/17,2015,2,17,Tuesday,7,15-Jul,46.18,46.38,45.97,46.26,1813100,33.05,0.002818184,33.10071429,32.96193548,undefined
2015/2/18,2015,2,18,Wednesday,7,15-Jul,46.69,46.8,46.57,46.67,1820300,33.34,0.008862583,33.10857143,32.97375,undefined
2015/2/19,2015,2,19,Thursday,7,15-Jul,46.44,46.57,46.21,46.25,1288500,33.04,-0.008999126,33.08642857,32.97575758,undefined
2015/2/20,2015,2,20,Friday,7,15-Jul,46.4,46.81,46.25,46.68,1339300,33.35,0.009297537,33.13571429,32.98676471,undefined
2015/2/23,2015,2,23,Monday,8,15-Aug,44.36,44.71,44.17,44.68,3921100,31.92,-0.042845018,33.06357143,32.95628571,undefined
2015/2/24,2015,2,24,Tuesday,8,15-Aug,44.58,45.09,44.58,45.04,3624100,32.18,0.008057146,32.97142857,32.93472222,undefined
2015/2/25,2015,2,25,Wednesday,8,15-Aug,44.77,44.8,44.51,44.77,2392300,31.99,-0.005994635,32.87357143,32.90918919,undefined
2015/2/26,2015,2,26,Thursday,8,15-Aug,44.59,44.87,44.57,44.85,1497400,32.04,0.001786964,32.76,32.88631579,undefined
2015/2/27,2015,2,27,Friday,8,15-Aug,44.7,44.78,44.59,44.62,1527100,31.88,-0.00512823,32.63428571,32.86051282,undefined
2015/3/2,2015,3,2,Monday,9,15-Sep,44.6,44.87,44.55,44.87,1229500,32.06,0.005602923,32.55785714,32.8405,undefined
2015/3/3,2015,3,3,Tuesday,9,15-Sep,44.87,44.96,44.65,44.81,1554700,32.01,-0.0013374,32.51642857,32.8202439,undefined
2015/3/4,2015,3,4,Wednesday,9,15-Sep,43.79,43.81,43.52,43.76,1490600,31.98,-0.001141035,32.48285714,32.8002381,undefined
2015/3/5,2015,3,5,Thursday,9,15-Sep,43.52,43.68,43.46,43.59,2063100,31.85,-0.003884916,32.40357143,32.77813953,undefined
2015/3/6,2015,3,6,Friday,9,15-Sep,43.19,43.25,42.75,42.81,2860700,31.28,-0.017893976,32.28357143,32.74409091,undefined
2015/3/9,2015,3,9,Monday,10,15-Oct,43.1,43.14,42.85,42.95,1882700,31.39,0.003270465,32.165,32.714,undefined
2015/3/10,2015,3,10,Tuesday,10,15-Oct,42.85,42.86,42.27,42.35,2652000,30.95,-0.013970163,31.99428571,32.67565217,undefined
2015/3/11,2015,3,11,Wednesday,10,15-Oct,42.07,42.19,41.91,42.05,1868800,30.73,-0.007083769,31.82928571,32.63425532,undefined
2015/3/12,2015,3,12,Thursday,10,15-Oct,42.05,42.08,41.69,41.97,3466300,30.67,-0.00190249,31.63785714,32.59333333,undefined
2015/3/13,2015,3,13,Friday,10,15-Oct,41.46,41.61,41.2,41.55,2318900,30.36,-0.010007143,31.52642857,32.5477551,undefined
2015/3/16,2015,3,16,Monday,11,15-Nov,41.59,41.85,41.52,41.75,1503400,30.51,0.004813712,31.40714286,32.507,undefined
2015/3/17,2015,3,17,Tuesday,11,15-Nov,42.02,42.34,41.98,42.25,2411500,30.87,0.011975971,31.32714286,32.4518,undefined
2015/3/18,2015,3,18,Wednesday,11,15-Nov,42.29,43.23,42.22,43.09,3266700,31.49,0.019881335,31.28785714,32.4244,undefined
2015/3/19,2015,3,19,Thursday,11,15-Nov,42.76,42.78,42.43,42.57,2259100,31.11,-0.01206736,31.23285714,32.399,undefined
2015/3/20,2015,3,20,Friday,11,15-Nov,43.26,43.72,43.12,43.56,3535800,31.83,0.023255678,31.21642857,32.383,undefined
2015/3/23,2015,3,23,Monday,12,15-Dec,43.22,43.27,42.98,43.21,1855900,31.58,-0.00803464,31.18571429,32.3598,undefined
2015/3/24,2015,3,24,Tuesday,12,15-Dec,43.13,43.2,42.98,43.02,1780600,31.44,-0.00439743,31.14714286,32.3374,undefined
2015/3/25,2015,3,25,Wednesday,12,15-Dec,43.54,43.6,43.2,43.24,2176700,31.6,0.005114155,31.12928571,32.3176,undefined
2015/3/26,2015,3,26,Thursday,12,15-Dec,43.18,43.22,42.81,43.13,1982800,31.52,-0.002544368,31.14642857,32.2948,undefined
2015/3/27,2015,3,27,Friday,12,15-Dec,43.1,43.21,42.88,43.12,1982900,31.51,-0.000231599,31.155,32.2786,undefined
2015/3/30,2015,3,30,Monday,13,2015-13,43.14,43.35,43.09,43.19,1937600,31.56,0.001623386,31.19857143,32.263,undefined
2015/3/31,2015,3,31,Tuesday,13,2015-13,42.51,42.81,42.5,42.59,2073300,31.12,-0.013892113,31.22642857,32.239,undefined
2015/4/1,2015,4,1,Wednesday,13,2015-13,42.89,43,42.7,42.92,2098600,31.36,0.007748498,31.27571429,32.218,undefined
2015/4/2,2015,4,2,Thursday,13,2015-13,43.08,43.23,43.04,43.15,1316900,31.53,0.005358375,31.35928571,32.1948,undefined
2015/4/6,2015,4,6,Monday,14,2015-14,43.22,43.79,43.17,43.52,1205100,31.8,0.008575057,31.45142857,32.1616,undefined
2015/4/7,2015,4,7,Tuesday,14,2015-14,43.56,43.73,43.46,43.49,3491300,31.78,-0.000689471,31.51642857,32.128,undefined
2015/4/8,2015,4,8,Wednesday,14,2015-14,44.08,44.14,43.51,43.77,2843100,31.99,0.006438658,31.55214286,32.0918,undefined
2015/4/9,2015,4,9,Thursday,14,2015-14,44.41,44.63,44.35,44.54,2915200,32.55,0.017591632,31.655,32.0716,undefined
2015/4/10,2015,4,10,Friday,14,2015-14,44.69,44.8,44.55,44.69,2179900,32.66,0.003367703,31.71428571,32.0602,undefined
2015/4/13,2015,4,13,Monday,15,2015-15,45.31,45.41,45.07,45.27,3990200,33.08,0.012978568,31.82142857,32.0548,undefined
2015/4/14,2015,4,14,Tuesday,15,2015-15,45.5,45.69,45.4,45.64,2965300,33.35,0.008172675,31.95785714,32.0686,undefined
2015/4/15,2015,4,15,Wednesday,15,2015-15,45.53,45.92,45.48,45.89,1623300,33.53,0.005477789,32.09571429,32.0806,undefined
2015/4/16,2015,4,16,Thursday,15,2015-15,45.44,45.52,45.21,45.43,2202300,33.2,-0.010023849,32.21571429,32.0752,undefined
2015/4/17,2015,4,17,Friday,15,2015-15,44.86,44.99,44.75,44.86,1772400,32.78,-0.012546656,32.30642857,32.0636,undefined
2015/4/20,2015,4,20,Monday,16,2015-16,45.55,45.77,45.46,45.51,2092800,33.26,0.014489394,32.42785714,32.0562,undefined
2015/4/21,2015,4,21,Tuesday,16,2015-16,45.69,45.93,45.57,45.6,2424900,33.32,0.001977623,32.585,32.0498,undefined
2015/4/22,2015,4,22,Wednesday,16,2015-16,45.62,45.65,45.26,45.61,1820800,33.33,0.000219455,32.72571429,32.0538,undefined
2015/4/23,2015,4,23,Thursday,16,2015-16,45.8,46.18,45.75,46.11,2009600,33.7,0.010962551,32.88071429,32.076,undefined
